Clock Speed,4.00E+09,,,,,,,,,,,
,,,,,,,,,,,,
nFiles,Size,Checks,R/F,Print,nProc,Time,FPS,FPS/core,pCycles,Throughput,pCycles/file,pC/MB
51,60.04544449,Y,R,N,6,19.90837145,2.56173641,0.426956068,4.78E+11,3.016090223,9.37E+09,7.96E+09
50,58.5447216,Y,R,N,6,20.01776171,2.497781757,0.416296959,4.80E+11,2.924638751,9.61E+09,8.21E+09
49,58.8772192,Y,R,N,6,19.78345656,2.476816922,0.41280282,4.75E+11,2.976083528,9.69E+09,8.06E+09
49,57.76149178,Y,R,N,6,19.78360891,2.476797849,0.412799641,4.75E+11,2.919664053,9.69E+09,8.22E+09
50,57.47989178,Y,R,N,6,19.65839672,2.543442413,0.423907069,4.72E+11,2.923935893,9.44E+09,8.21E+09
49,56.31844997,Y,R,N,6,19.26766253,2.543121146,0.423853524,4.62E+11,2.922951858,9.44E+09,8.21E+09
51,59.44206619,Y,R,N,6,20.34591675,2.506645468,0.417774245,4.88E+11,2.921572271,9.57E+09,8.21E+09
52,61.35834122,Y,R,N,6,19.65653658,2.645430429,0.440905072,4.72E+11,3.121523518,9.07E+09,7.69E+09
51,60.09805489,Y,R,N,6,21.43978405,2.378755303,0.396459217,5.15E+11,2.803109152,1.01E+10,8.56E+09
48,60.5194416,Y,R,N,6,20.38530803,2.354636974,0.392439496,4.89E+11,2.968777392,1.02E+10,8.08E+09
48,60.87261772,Y,R,N,6,20.73732233,2.314667209,0.385777868,4.98E+11,2.935413587,1.04E+10,8.18E+09
49,58.89795494,Y,R,N,6,19.59610796,2.500496532,0.416749422,4.70E+11,3.005594532,9.60E+09,7.99E+09
44,55.41863537,Y,R,N,6,18.68972898,2.354234246,0.392372374,4.49E+11,2.965192028,1.02E+10,8.09E+09
44,54.25929356,Y,R,N,6,18.25217342,2.410671813,0.401778636,4.38E+11,2.972757945,9.96E+09,8.07E+09
43,50.70029259,Y,R,N,6,16.78282809,2.562142671,0.427023779,4.03E+11,3.020962397,9.37E+09,7.94E+09
42,49.503716468811035,Y,R,N,6,17.52717137336731,2.39627941698678,0.39937990283113,420652112960.8154,2.824398496156223,10015526499.067034,8497384498.916159
42,53.68918228149414,Y,R,N,6,18.1363844871521,2.315786811299297,0.38596446854988287,435273227691.6504,2.9603023865935247,10363648278.37263,8107279887.585149
42,54.200318336486816,Y,R,N,6,18.35534644126892,2.2881616609300295,0.38136027682167156,440528314590.4541,2.9528354863750477,10488769395.010813,8127780945.041004
43,54.21798229217529,Y,R,N,6,17.589713096618652,2.444610651908022,0.40743510865133703,422153114318.84766,3.082368768288657,9817514286.484829,7786219561.692774
43,52.20854663848877,Y,R,N,6,17.277207136154175,2.4888281804539156,0.4148046967423193,414652971267.7002,3.0218163287072883,9643092355.062796,7942243137.678401
43,50.340983390808105,Y,R,N,6,16.871171236038208,2.548726427964199,0.4247877379940332,404908109664.917,2.983846390182777,9416467666.625977,8043309494.403922
46,52.515907287597656,Y,R,N,6,17.371004343032837,2.6480909849320073,0.4413484974886679,416904104232.7881,3.0231934924741837,9063132700.712784,7938625185.501568
46,55.27604866027832,Y,R,N,6,18.245813369750977,2.5211263026652246,0.4201877171108708,437899520874.02344,3.029519569235446,9519554801.609205,7922048183.3879795
46,54.60193157196045,Y,R,N,6,17.808557271957397,2.58302788359138,0.43050464726523,427405374526.97754,3.0660502553983124,9291421185.369078,7827660345.013538
46,46.12144660949707,Y,R,N,6,16.605729341506958,2.7701282523629,0.46168804206048336,398537504196.167,2.7774417889742375,8663858786.873196,8641045185.996017
39,42.678144454956055,Y,R,N,6,15.496341228485107,2.516723104180932,0.419453850696822,371912189483.6426,2.7540787741886983,9536209986.760067,8714347688.573275
45,43.82031726837158,Y,R,N,6,15.15303349494934,2.9697024041423097,0.49495040069038493,363672803878.7842,2.8918511453813744,8081617863.972981,8299182355.333474
46,47.53172016143799,Y,R,N,6,16.627838373184204,2.7664449802557876,0.4610741633759646,399068120956.4209,2.858562796598542,8675393933.835238,8395827451.668389
46,53.48665904998779,Y,R,N,6,17.421796321868896,2.640370668451565,0.44006177807526087,418123111724.8535,3.0701001241099397,9089632863.583773,7817334624.211287
44,54.33134651184082,Y,R,N,6,17.977601051330566,2.4474900669098703,0.407915011151645,431462425231.9336,3.022168884308378,9805964209.816673,7941316623.505768
43,53.47244644165039,Y,R,N,6,18.11412000656128,2.373838750346392,0.3956397917243986,434738880157.4707,2.951975940442133,10110206515.290016,8130147563.602904
315,228.59149074554443,N,R,Y,1,67.99711751937866,0.21586386514088465,0.21586386514088465,271988470077.51465,3.3617820737827246,863455460.5635386,1189845121.4891343
46,53.81074619293213,Y,R,Y,1,64.74071288108826,1.407406801762788,1.407406801762788,258962851524.35303,0.8311732107702982,5629627207.051153,4812474642.070044
46,53.81074619293213,Y,R,Y,1,75.08124709129333,1.632201023723768,1.632201023723768,300324988365.17334,0.716700218464701,6528804094.895073,5581134059.884494
46,53.81074619293213,Y,R,N,6,21.200323820114136,0.4608766047850899,0.07681276746418166,508807771682.73926,2.5382039750675105,11061038514.842157,9455504851.36312
1,1.1219606399536133,Y,R,N,6,1.4640882015228271,1.4640882015228271,0.24401470025380453,35138116836.54785,0.7663203888854782,35138116836.54785,31318493345.720768
1,1.1219606399536133,N,F,N,6,0.653728723526001,0.653728723526001,0.1089547872543335,15689489364.624023,1.7162480392510842,15689489364.624023,13983992669.540257
1,1.1219606399536133,N,F,N,6,0.7633039951324463,0.7633039951324463,0.12721733252207437,18319295883.17871,1.4698739258647977,18319295883.17871,16327930972.637426
1,1.1219606399536133,N,F,N,6,0.7592024803161621,0.7592024803161621,0.12653374671936035,18220859527.58789,1.4778147714775434,18220859527.58789,16240194957.588903
46,53.81074619293213,Y,R,N,6,15.279547452926636,0.3321640750636225,0.05536067917727042,366709138870.23926,3.5217499967661183,7971937801.52694,6814793787.758427
46,53.81074619293213,Y,R,N,6,15.27142596244812,0.3319875209227852,0.05533125348713087,366514223098.7549,3.5236228971185004,7967700502.146845,6811171541.5478735
46,53.81074619293213,Y,R,N,6,14.664098739624023,0.3187847552092179,0.05313079253486965,351938369750.97656,3.6695570009720075,7650834125.02123,6540299004.38739
46,53.81074619293213,Y,R,N,6,15.079366207122803,0.3278123088504957,0.054635384808415954,361904788970.94727,3.568501849070712,7867495412.411897,6725511437.313655
46,53.81074619293213,Y,R,N,6,14.558481693267822,0.31648873246234394,0.05274812207705732,349403560638.42773,3.6961784426885296,7595729579.096255,6493193002.484712
46,53.81074619293213,Y,R,N,6,19.908774852752686,0.43279945332071057,0.07213324222011842,477810596466.06445,2.702865776067179,10387186879.697054,8879464238.479996
46,53.81074619293213,Y,R,N,6,19.25053572654724,0.4184899070988531,0.06974831784980885,462012857437.1338,2.7952856459327005,10043757770.372473,8585884607.1496725
46,53.81074619293213,Y,R,N,6,14.657975912094116,0.3186516502629156,0.053108608377152595,351791421890.2588,3.6710898227451407,7647639606.309974,6537568176.976247
46,53.81074619293213,Y,R,N,6,19.65442705154419,0.4272701532944389,0.07121169221573982,471706249237.06055,2.737843542923546,10254483679.066534,8766023194.434305
48,54.448625564575195,Y,R,N,6,17.846358060836792,0.37179912626743317,0.0619665210445722,428312593460.083,3.0509656580330975,8923179030.418396,7866361896.538805
48,54.448625564575195,Y,R,N,6,18.959802865982056,0.39499589304129284,0.06583264884021547,455035268783.56934,2.871792810792758,9479901432.991028,8357148854.821043
116,110.90907096862793,Y,R,Y,1,137.87247562408447,1.1885558243455558,1.1885558243455558,551489902496.3379,0.8044322876382267,4754223297.382223,4972450834.542956
116,110.90907096862793,Y,R,Y,1,144.77738070487976,1.248080868145515,1.248080868145515,579109522819.519,0.7660662903876511,4992323472.582061,5221480242.885883
44,54.22281265258789,Y,R,N,6,16.996114253997803,0.38627532395449554,0.0643792206590826,407906742095.94727,3.1903064337093214,9270607774.907892,7522788327.294178
46,54.649593353271484,Y,R,N,6,17.251135110855103,0.375024676322937,0.0625041127204895,414027242660.52246,3.167883910368529,9000592231.750488,7576035195.433665
46,54.649593353271484,Y,R,N,6,17.672111749649048,0.38417634238367493,0.06402939039727916,424130681991.57715,3.092420086940474,9220232217.208199,7760911947.685837
46,54.649593353271484,Y,R,N,6,16.513502597808838,0.35898918690888776,0.05983153115148129,396324062347.4121,3.309388364435955,8615740485.813307,7252095359.346109
47,54.495121002197266,Y,R,N,6,15.876101016998291,0.33778938334038916,0.05629823055673153,381026424407.959,3.4325254635158973,8106945200.16934,6991936477.993981
45,55.54132556915283,Y,R,N,6,16.9108989238739,0.3757977538638645,0.06263295897731075,405861574172.97363,3.2843508685834886,9019146092.732748,7307380045.64993
45,55.827561378479004,Y,R,N,6,16.59211254119873,0.36871361202663844,0.061452268671106404,398210700988.76953,3.3647048403184003,8849126688.639322,7132869341.885242
49,56.82589626312256,Y,R,N,6,17.714577674865723,0.3615219933646066,0.06025366556076777,425149864196.77734,3.207860627902511,8676527840.750559,7481621798.41729
